Question,Answer
Have you completed the following level of education: Doctor of Law?,No
How many years of work experience do you have with AWS Lambda?,1
How many years of work experience do you have with React Native?,1
How many years of work experience do you have with Keras?,1
How many years of work experience do you have with Java?,2
How many years of work experience do you have with Time Series Analysis?,1
Have you completed the following level of education: Doctor of Philosophy?,No
How many years of work experience do you have with Microsoft Office?,5
How many years of work experience do you have with Jupyter?,2
How many years of work experience do you have with Human Computer Interaction?,3
How many years of work experience do you have with Software Systems?,2
How many years of work experience do you have with Django?,1
How many years of work experience do you have with Databases?,3
How many years of work experience do you have with Apache Spark Streaming?,2
How many years of ADM experience do you currently have?,3
How many years of work experience do you have with Data Science?,1
How many years of urn:li:industry:132 experience do you currently have?,2
Description,
How many years of work experience do you have with Git?,2
How many years of work experience do you have with R (Programming Language)?,2
Major / Field of study,
Website,
How many years of work experience do you have with Microsoft Azure?,1
Do you have the following license or certification: Business Analyst Certification?,Yes
Do you speak German?,No
How many years of urn:li:industry:96 experience do you currently have?,3
How many years of work experience do you have with Tableau?,2
How many years of work experience do you have with LinkedIn Sales Navigator?,1
How many years of work experience do you have with Recurrent Neural Networks (RNN)?,0
How many years of work experience do you have with YouTube?,3
How many years of work experience do you have with Amazon Web Services (AWS)?,1
How many years of work experience do you have with Predictive Modeling?,2
State / Province,
First name,
How many years of work experience do you have with Microsoft Excel?,5
School,
How many years of urn:li:industry:14 experience do you currently have?,1
Do you speak English?,Yes
How many years of work experience do you have with JavaScript?,2
How many years of work experience do you have with Microsoft Azure Machine Learning?,1
City,
How many years of work experience do you have with Machine Learning?,1
How many years of work experience do you have with Docker Products?,0
Are you comfortable working in a hybrid setting?,Yes
Are you comfortable working in a remote setting?,Yes
How many years of work experience do you have with MATLAB?,2
How many years of work experience do you have with SQL Server Reporting Services (SSRS)?,2
Company,
Please submit a resume or LinkedIn profile,1681087591.pdf
How many years of work experience do you have with Data Quality?,2
How many years of work experience do you have with Informatica?,0
Country,
How many years of work experience do you have with Enterprise Solution Design?,3
How many years of work experience do you have with XGBoost?,1
How many years of urn:li:industry:24 experience do you currently have?,1
How many years of work experience do you have with Laptops?,5
Degree,
Industry,
How many years of work experience do you have with IBM SPSS?,0
How many years of work experience do you have with PyTorch?,1
How many years of urn:li:industry:15 experience do you currently have?,0
How many years of work experience do you have with Visual Basic for Applications (VBA)?,1
Mobile phone number, +91 9008276611
How many years of work experience do you have with Adobe Dynamic Tag Management (DTM)?,1
How many years of work experience do you have with Regulatory Reporting?,2
How many years of work experience do you have with Facebook Ads Manager?,2
How many years of urn:li:industry:123 experience do you currently have?,2
How many years of work experience do you have with Influencer Marketing?,2
How many years of work experience do you have with Amazon S3?,1
Your title,
How many years of work experience do you have with C++?,2
How many years of work experience do you have with Google Slides?,2
How many years of work experience do you have with Visio?,0
Street address line 1,
How many years of work experience do you have with Open-Source Software?,1
How many years of work experience do you have with Shell Scripting?,1
How many years of work experience do you have with Demand Planning?,1
How many years of work experience do you have with Natural Language Processing (NLP)?,1
How many years of work experience do you have with Microsoft Power BI?,3
Middle name,
