Question,Answer
How many years of work experience do you have with Text Mining?,1
How many years of work experience do you have with SAS (Software)?,3
How many years of work experience do you have with Linux Server?,2
Photo, -1852684314.jpg
How many years of urn:li:industry:43 experience do you currently have?,1
Cover letter,
How many years of work experience do you have with Machine Learning Algorithms?,1
How many years of work experience do you have with Oracle Database?,3
How many years of work experience do you have with Computer Vision?,1
We must fill this position urgently. Can you start immediately?,Yes
How many years of work experience do you have with PySpark?,1
How many years of work experience do you have with Relational Databases?,3
How many years of work experience do you have with AngularJS?,1
How many years of IT experience do you currently have?,3
"How many years of work experience do you have with Extract, Transform, Load (ETL)?",2
How many years of work experience do you have with Google Analytics?,2
Description,
How many years of work experience do you have with Quantitative Analytics?,2
Do you have the following license or certification: IBM Certified Specialist - SPSS Statistics Level 1 v2?,No
How many years of work experience do you have with Deep Neural Networks (DNN)?,1
Major / Field of study,
How many years of work experience do you have with Microsoft PowerPoint?,5
How many years of work experience do you have with Adobe Analytics?,1
How many years of work experience do you have with SQL?,6
Do you have the following license or certification: SAP Certified Application Associate - Management Accounting (CO) with SAP ERP 6.0 EHP5?,No
How many years of MRKT experience do you currently have?,3
How many years of work experience do you have with Data Mining?,1
How many years of RSCH experience do you currently have?,2
How many years of work experience do you have with Microsoft SQL Server?,5
How many years of PRJM experience do you currently have?,1
How many years of work experience do you have with Azure Functions?,1
How many years of work experience do you have with REST APIs?,1
How many years of CNSL experience do you currently have?,3
How many years of work experience do you have with Oracle Data Integrator (ODI)?,2
State / Province,
How many years of work experience do you have with Core ML?,1
How many years of work experience do you have with Quantitative Risk Analysis?,1
How many years of work experience do you have with Windows?,4
How many years of work experience do you have with Communication?,5
How many years of work experience do you have with Facebook?,7
How many years of work experience do you have with Problem Solving?,2
How many years of work experience do you have with Linux?,1
How many years of work experience do you have with Data Analysis?,2
How many years of work experience do you have with Azure Databricks?,1
How many years of work experience do you have with C#?,0
State,
City,
Do you have a valid driver's license?,Yes
How many years of work experience do you have with Scala?,1
How many years of work experience do you have with Google Cloud Platform (GCP)?,1
How many years of work experience do you have with Big Data?,1
Have you completed the following level of education: Master of Business Administration?,No
How many years of work experience do you have with Use Case?,3
Company,
ZIP / Postal Code,
How many years of work experience do you have with Pandas (Software)?,2
Last name,
How many years of work experience do you have with Statistical Modeling?,2
Country,
How many years of work experience do you have with React.js?,0
How many years of SUPL experience do you currently have?,2
How many years of work experience do you have with SQL Server Integration Services (SSIS)?,5
Do you have the following license or certification: Certified Data Scientist?,No
How many years of work experience do you have with SAP BusinessObjects?,2
How many years of work experience do you have with Twitter?,3
Degree,
How many years of ENG experience do you currently have?,3
Have you completed the following level of education: Master's Degree?,No
How many years of work experience do you have with MySQL?,2
How many years of work experience do you have with Minitab?,0
How many years of work experience do you have with Sybase Products?,0
How many years of work experience do you have with TensorFlow?,1
Your title,
How many years of work experience do you have with K-Nearest Neighbors (KNN)?,1
How many years of ANLS experience do you currently have?,3
"Are you willing to undergo a background check, in accordance with local law/regulations?",Yes
Street address line 2,
How many years of work experience do you have with Julia (Programming Language)?,0
Please submit a resume or LinkedIn profile, -1849167054.pdf
How many years of work experience do you have with MongoDB?,1
Have you completed the following level of education: Bachelor's Degree?,Yes
How many years of work experience do you have with Dashboard?,2
How many years of work experience do you have with Auditing?,1
